,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,OBC Boys,Gen. Boys,Total ST,Total SC,Total GEN,Total
34,ASHOKNAGAR,8975,8339,12852,13151,25082,27128,3584,4150,50493,52768,5096,308,17314,26003,7734,103261
35,SEHORE,11281,11319,12764,14433,17188,22181,3879,4898,45112,52831,3089,596,22600,27197,8777,97943
36,INDORE,13062,13228,13602,16004,14393,19848,3485,4669,44542,53749,2458,469,26290,29606,8154,98291
37,SHEOPUR,16436,15766,6792,6620,18594,20008,1353,1369,43175,43763,941,66,32202,13412,2722,86938
38,BHOPAL,2999,3113,12954,14288,22216,24509,4313,4937,42482,46847,4958,1160,6112,27242,9250,89329
39,HOSHANGABAD,13517,13303,9199,9453,16855,19751,1931,2538,41502,45045,5995,509,26820,18652,4469,86547
40,DINDORI,29798,30364,2035,2174,9402,10045,204,227,41439,42810,4902,65,60162,4209,431,84249
41,MANDSAUR,2145,2071,12220,13450,22529,28772,3745,4840,40639,49133,5400,732,4216,25670,8585,89772
42,DATIA,1166,1105,12743,12059,23749,24223,2973,2876,40631,40263,4148,273,2271,24802,5849,80894
43,NARSINGHPUR,8797,8543,8994,9028,20151,21539,2396,2582,40338,41692,8535,799,17340,18022,4978,82030
44,UMARIA,23010,22293,3061,3193,8246,8936,1762,1947,36079,36369,2387,505,45303,6254,3709,72448
45,BURHANPUR,17105,16825,2811,3061,11331,12176,2622,2864,33869,34926,6830,1366,33930,5872,5486,68795
46,ANUPPUR,21004,20739,3529,3754,7625,8379,839,972,32997,33844,1836,139,41743,7283,1811,66841
47,SHAJAPUR,1332,1484,11473,13372,12688,17467,4139,5861,29632,38184,6043,1561,2816,24845,10000,67816
48,NEEMUCH,5594,5332,4162,4919,14183,17808,1521,2190,25460,30249,3689,267,10926,9081,3711,55709
49,AGAR MALWA,811,1003,8168,9133,12685,16298,1612,2238,23276,28672,5665,559,1814,17301,3850,51948
50,HARDA,11968,12192,4412,4552,4797,5627,906,1049,22083,23420,842,94,24160,8964,1955,45503
