,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
83,"                                83
                            ",3,Marathi - Language-Marathi-3,5590,7030,125,-25
84,"                                84
                            ",3,Marathi - Maths-3,5590,18353,328,-228
85,"                                85
                            ",4,Marathi - EVS-4,3905,781,20,80
86,"                                86
                            ",4,Marathi - Language-English Reader (General Series) -4,2692,254,9,91
87,"                                87
                            ",4,Marathi - Language-Marathi-4,4868,414,8,92
88,"                                88
                            ",4,Marathi - Maths-4,4486,390,8,92
89,"                                89
                            ",5,Marathi - EVS-5,729,139,19,81
90,"                                90
                            ",5,Marathi - Hindi General -5,1488,250,16,84
91,"                                91
                            ",5,Marathi - Language-English Reader (General Series) -3,630,126,20,80
92,"                                92
                            ",5,Marathi - Language-Marathi-5,1835,306,16,84
93,"                                93
                            ",5,Marathi - Maths-5,729,139,19,81
94,"                                94
                            ",6,Marathi - Language-English Reader (General Series) -3,713,161,22,78
95,"                                95
                            ",6,Marathi - Language-Marathi Bhasha Bharti-6,627,126,20,80
96,"                                96
                            ",6,Marathi - Maths-6,690,161,23,77
97,"                                97
                            ",6,Marathi - Sahayak Vachan-6,771,205,26,74
98,"                                98
                            ",6,Marathi - SCIENCE-6 ,690,161,23,77
99,"                                99
                            ",6,Marathi - Social Science-6,713,161,22,78
100,"                                100
                            ",7,Marathi - Language-English Reader (General Series) -3,489,14016,2866,-2766
101,"                                101
                            ",7,Marathi - Language-Marathi-7,758,1299,171,-71
102,"                                102
                            ",7,Marathi - Marathi Sahayak Vachan-7,489,50,10,90
103,"                                103
                            ",7,Marathi - Maths-7,758,174,22,78
104,"                                104
                            ",7,Marathi - Science-7,758,205,27,73
105,"                                105
                            ",7,Marathi - Social Science-7,489,50,10,90
106,"                                106
                            ",8,Marathi - General Hindi-8,410,150,36,64
107,"                                107
                            ",8,Marathi - Language-English Reader (General Series) -8,410,150,36,64
108,"                                108
                            ",8,Marathi - Language-Marathi Bhasha Bharti-8,489,50,10,90
109,"                                109
                            ",8,Marathi - Marathi Sahayak Vachan-7,410,150,36,64
110,"                                110
                            ",8,Marathi - Maths-8,410,4550,1109,-1009
111,"                                111
                            ",8,Marathi - Science-8,410,150,36,64
112,"                                112
                            ",8,Marathi - Social Science-8,410,150,36,64
113,"                                113
                            ",1,Urdu - Language-English Reader (General Series) -1,351,150,42,58
114,"                                114
                            ",1,Urdu - Maths-1,351,450,128,-28
115,"                                115
                            ",1,Urdu - Urdu Bharti-1,351,150,42,58
116,"                                116
                            ",2,Urdu - Language-English Reader (General Series) -2,351,150,42,58
117,"                                117
                            ",2,Urdu - Maths-2,351,150,42,58
118,"                                118
                            ",2,Urdu - Urdu Bharti-2,351,150,42,58
119,"                                119
                            ",3,Urdu - General Hindi-3,328,150,45,55
120,"                                120
                            ",3,Urdu - Language-English Reader (General Series) -3,328,150,45,55
121,"                                121
                            ",3,Urdu - Maths-3,328,150,45,55
122,"                                122
                            ",3,Urdu - Urdu Bharti-3,328,4273,1302,-1202
123,"                                123
                            ",3,Urdu - Urdu Environment Science-3,328,150,45,55
124,"                                124
                            ",4,Urdu - Environment Science-4,328,150,45,55
125,"                                125
                            ",4,Urdu - Language-English Reader (General Series) -4,987,3569,361,-261
126,"                                126
                            ",4,Urdu - Maths-4,1271,2835,223,-123
127,"                                127
                            ",4,Urdu - Urdu Bharti-4,1275,3746,293,-193
128,"                                128
                            ",5,Urdu - Environment Science-5,987,2711,274,-174
129,"                                129
                            ",5,Urdu - General Hindi-5,1009,3353,332,-232
130,"                                130
                            ",5,Urdu - Language-English Reader (General Series) -5,1009,2441,241,-141
131,"                                131
                            ",5,Urdu - Maths-5,1009,2989,296,-196
132,"                                132
                            ",5,Urdu - Urdu Bharti-5,1009,15,1,99
133,"                                133
                            ",6,Urdu - Language-English Reader (General Series) -6,1137,6845,602,-502
134,"                                134
                            ",6,Urdu - Maths-6,986,2410,244,-144
135,"                                135
                            ",6,Urdu - Sahayak Wachan-6,1137,15,1,99
136,"                                136
                            ",6,Urdu - SCIENCE-6 ,986,3877,393,-293
137,"                                137
                            ",6,Urdu - Social Science-6,986,2839,287,-187
138,"                                138
                            ",6,Urdu - Urdu Bharti-6,986,3855,390,-290
139,"                                139
                            ",7,Urdu - Language-English Reader (General Series) -7,1255, , , 
140,"                                140
                            ",7,Urdu - Maths-7,1137,1474,129,-29
141,"                                141
                            ",7,Urdu - Sahayak Wachan-7,1255,2471,196,-96
142,"                                142
                            ",7,Urdu - Science-7,1137,2037,179,-79
143,"                                143
                            ",7,Urdu - Social Science-7,1255,880,70,30
144,"                                144
                            ",7,Urdu - Urdu Bharti-6,1137,2995,263,-163
